,wavelength,intensity,acqTime,time,n
0,178.99701,3029.828774587261,11,1610560297.524423,1
1,179.21528120399077,3029.828774587261,11,1610560297.524423,1
2,179.4335415944951,3029.828774587261,11,1610560297.524423,1
3,179.6517911693109,3079.820056666485,11,1610560297.524423,1
4,179.8700299262361,3076.2492508036835,11,1610560297.524423,1
5,180.08825786306863,3133.3821446085108,11,1610560297.524423,1
6,180.30647497760646,3101.2448918432956,11,1610560297.524423,1
7,180.52468126764748,3154.8069797853213,11,1610560297.524423,1
8,180.74287673098968,3133.3821446085108,11,1610560297.524423,1
9,180.96106136543094,3128.0259358143085,11,1610560297.524423,1
10,181.1792351687692,3120.884324088705,11,1610560297.524423,1
11,181.39739813880243,3076.2492508036835,11,1610560297.524423,1
12,181.61555027332855,3028.04337165586,11,1610560297.524423,1
13,181.8336915701455,3124.4551299515065,11,1610560297.524423,1
14,182.0518220270512,3099.4594889118944,11,1610560297.524423,1
15,182.26994164184362,3174.4464120307307,11,1610560297.524423,1
16,182.48805041232063,3049.4682068326706,11,1610560297.524423,1
17,182.70614833628022,3113.7427123631014,11,1610560297.524423,1
18,182.92423541152033,3090.53247425489,11,1610560297.524423,1
19,183.14231163583884,3178.0172178935322,11,1610560297.524423,1
20,183.36037700703375,3104.815697706097,11,1610560297.524423,1
21,183.57843152290295,3117.313518225903,11,1610560297.524423,1
22,183.7964751812444,3092.317877186291,11,1610560297.524423,1
23,184.01450797985603,3156.592382716722,11,1610560297.524423,1
24,184.23252991653575,3192.3004413447393,11,1610560297.524423,1
25,184.45054098908156,3106.601100637498,11,1610560297.524423,1
26,184.6685411952913,3086.9616683920885,11,1610560297.524423,1
27,184.886530532963,3138.7383534027135,11,1610560297.524423,1
28,185.10450899989453,3070.8930420094807,11,1610560297.524423,1
29,185.32247659388386,3135.1675475399115,11,1610560297.524423,1
30,185.54043331272894,3156.592382716722,11,1610560297.524423,1
31,185.75837915422764,3144.094562196916,11,1610560297.524423,1
32,185.97631411617795,3176.2318149621315,11,1610560297.524423,1
33,186.1942381963778,3156.592382716722,11,1610560297.524423,1
34,186.4121513926251,3070.8930420094807,11,1610560297.524423,1
35,186.6300537027178,3167.304800305127,11,1610560297.524423,1
36,186.84794512445384,3197.656650138942,11,1610560297.524423,1
37,187.06582565563116,3103.0302947746964,11,1610560297.524423,1
38,187.28369529404767,3153.02157685392,11,1610560297.524423,1
39,187.50155403750134,3206.5836647959463,11,1610560297.524423,1
40,187.71940188379006,3179.8026208249335,11,1610560297.524423,1
41,187.9372388307118,3120.884324088705,11,1610560297.524423,1
42,188.15506487606453,3076.2492508036835,11,1610560297.524423,1
43,188.3728800176461,3144.094562196916,11,1610560297.524423,1
44,188.5906842532545,3070.8930420094807,11,1610560297.524423,1
45,188.80847758068765,3083.3908625292866,11,1610560297.524423,1
46,189.0262599977435,3167.304800305127,11,1610560297.524423,1
47,189.24403150221997,3149.4507709911186,11,1610560297.524423,1
48,189.46179209191502,3108.3865035688987,11,1610560297.524423,1
49,189.67954176462652,3124.4551299515065,11,1610560297.524423,1
50,189.89728051815248,3106.601100637498,11,1610560297.524423,1
51,190.11500835029082,3201.2274560017436,11,1610560297.524423,1
52,190.33272525883945,3160.1631885795236,11,1610560297.524423,1
53,190.5504312415963,3144.094562196916,11,1610560297.524423,1
54,190.76812629635933,3047.6828039012694,11,1610560297.524423,1
55,190.98581042092647,3220.866888247153,11,1610560297.524423,1
56,191.20348361309564,3065.536833215278,11,1610560297.524423,1
57,191.42114587066482,3058.395221489675,11,1610560297.524423,1
58,191.63879719143188,3154.8069797853213,11,1610560297.524423,1
59,191.8564375731948,3160.1631885795236,11,1610560297.524423,1
60,192.07406701375152,3142.309159265515,11,1610560297.524423,1
61,192.29168551089992,3083.3908625292866,11,1610560297.524423,1
62,192.50929306243802,3104.815697706097,11,1610560297.524423,1
63,192.7268896661637,3181.588023756334,11,1610560297.524423,1
64,192.94447531987487,3083.3908625292866,11,1610560297.524423,1
65,193.16205002136954,3135.1675475399115,11,1610560297.524423,1
66,193.37961376844558,3120.884324088705,11,1610560297.524423,1
67,193.59716655890097,3206.5836647959463,11,1610560297.524423,1
68,193.8147083905336,3197.656650138942,11,1610560297.524423,1
69,194.03223926114146,3135.1675475399115,11,1610560297.524423,1
70,194.24975916852244,3045.8974009698686,11,1610560297.524423,1
71,194.46726811047452,3128.0259358143085,11,1610560297.524423,1
72,194.68476608479557,3135.1675475399115,11,1610560297.524423,1
73,194.9022530892836,3113.7427123631014,11,1610560297.524423,1
74,195.11972912173647,3185.1588296191358,11,1610560297.524423,1
75,195.33719417995218,3129.8113387457092,11,1610560297.524423,1
76,195.55464826172863,3231.5793058355584,11,1610560297.524423,1
77,195.77209136486377,3210.154470658748,11,1610560297.524423,1
78,195.9895234871555,3085.176265460688,11,1610560297.524423,1
79,196.20694462640182,3117.313518225903,11,1610560297.524423,1
80,196.42435478040062,3097.6740859804936,11,1610560297.524423,1
81,196.64175394694985,3147.665368059718,11,1610560297.524423,1
82,196.85914212384745,3151.2361739225194,11,1610560297.524423,1
83,197.07651930889133,3156.592382716722,11,1610560297.524423,1
84,197.29388549987945,3094.103280117692,11,1610560297.524423,1
85,197.5112406946097,3124.4551299515065,11,1610560297.524423,1
86,197.72858489088011,3135.1675475399115,11,1610560297.524423,1
87,197.94591808648852,3119.098921157304,11,1610560297.524423,1
88,198.16324027923292,3110.1719065003,11,1610560297.524423,1
89,198.38055146691121,3183.373426687735,11,1610560297.524423,1
90,198.59785164732136,3104.815697706097,11,1610560297.524423,1
